"Region","integration","cumulative"
"1","Region","integration","cumulative"
"239","Region9","0.118900392494436","270"
"240","Region9","0.117293170843996","270"
"241","Region9","0.116955627525733","269"
"242","Region9","0.116725762405745","269"
"243","Region9","0.115197824020531","269"
"244","Region9","0.114531532656274","268"
"245","Region9","0.11299787531988","268"
"246","Region9","0.112918607815837","268"
"247","Region9","0.112761236385713","267"
"248","Region9","0.111100775175986","267"
"249","Region9","0.11078498266069","266"
"250","Region9","0.110265787840022","266"
"251","Region9","0.108204903549369","265"
"252","Region9","0.107904116995048","265"
"253","Region9","0.106869221350917","264"
"254","Region9","0.106231850950857","264"
"255","Region9","0.104902997814581","263"
"256","Region9","0.10445081854151","262"
"257","Region9","0.104026676229618","262"
"258","Region9","0.10388607829646","262"
"259","Region9","0.102628368803076","261"
"260","Region9","0.1025425673882","261"
"261","Region9","0.100991897913722","260"
"262","Region9","0.100814502049224","259"
"263","Region9","0.100676932016369","259"
"264","Region9","0.100417682833655","258"
"265","Region9","0.100239819836424","258"
"266","Region9","0.0994898125696388","258"
"267","Region9","0.0991101513929927","257"
"268","Region9","0.0986708200953892","257"
"269","Region9","0.0984074548971171","257"
"270","Region9","0.0983011508496406","256"
"271","Region9","0.098155435233651","256"
"272","Region9","0.0975353086084652","255"
"273","Region9","0.0971187729685159","254"
"274","Region9","0.0968662934195411","253"
"275","Region9","0.0955617835954838","253"
"276","Region9","0.0945643324294001","253"
"277","Region9","0.094538559987517","253"
"278","Region9","0.0933910821869279","252"
"279","Region9","0.0923824901950885","252"
"280","Region9","0.0909096932436157","252"
"281","Region9","0.090908508287759","253"
"282","Region9","0.0891911523180642","253"
"283","Region9","0.0878775362973379","253"
"284","Region9","0.0873340902784764","252"
"285","Region9","0.0862195074519169","252"
"286","Region9","0.0862191292396653","251"
"287","Region9","0.085521470331252","252"
"288","Region9","0.0849532532540439","251"
"289","Region9","0.0847902649273239","251"
"290","Region9","0.0847301246733166","250"
"291","Region9","0.0846396592548723","250"
"292","Region9","0.0836419810703684","251"
"293","Region9","0.083489648829317","251"
"294","Region9","0.0829346229093402","251"
"295","Region9","0.0824037897422768","251"
"296","Region9","0.0796258847504623","251"
"297","Region9","0.0781481485318634","250"
"298","Region9","0.0779949967245441","250"
"299","Region9","0.0774511776991651","251"
"300","Region9","0.0771930325383959","250"
"301","Region9","0.0769593871616056","249"
"302","Region9","0.0757667187564241","250"
"303","Region9","0.0750607156141204","250"
"304","Region9","0.0744592761385085","251"
"305","Region9","0.074438851084755","251"
"306","Region9","0.0743267897655687","250"
"307","Region9","0.0738315733239435","249"
"308","Region9","0.0737956603247365","250"
"309","Region9","0.0728479465370314","250"
"310","Region9","0.0727742473229611","250"
"311","Region9","0.0726504731908937","250"
"312","Region9","0.0725332296869793","250"
"313","Region9","0.07213806058571","250"
"314","Region9","0.0720683102953037","249"
"315","Region9","0.0714195744543987","250"
"316","Region9","0.0712583771105752","251"
"317","Region9","0.0706655540092327","251"
"318","Region9","0.0702149902204411","251"
"319","Region9","0.0701778578538663","251"
"320","Region9","0.0695168442389014","252"
"321","Region9","0.069279612492161","252"
"322","Region9","0.0692688408779256","252"
"323","Region9","0.0690863807890517","252"
"324","Region9","0.0690588439808053","253"
"325","Region9","0.0689322660605954","253"
"326","Region9","0.0686300756699156","252"
"327","Region9","0.0685222858039705","252"
"328","Region9","0.0684633594200604","252"
"329","Region9","0.0681915628608355","252"
"330","Region9","0.0674781757578358","252"
"331","Region9","0.0670411521163549","252"
"332","Region9","0.0661868537343213","252"
"333","Region9","0.0656935715277083","252"
"334","Region9","0.0656606083878815","252"
"335","Region9","0.0654857311268874","252"
"336","Region9","0.0648354898508692","252"
"337","Region9","0.0648073342615662","252"
"338","Region9","0.0646892476789984","252"
"339","Region9","0.0646795646037653","251"
"340","Region9","0.0639354601787396","250"
"341","Region9","0.0636401599903454","250"
"342","Region9","0.0635984840810366","250"
"343","Region9","0.0635865421841117","250"
"344","Region9","0.0622970854397377","250"
"345","Region9","0.062274405549393","249"
"346","Region9","0.0613201955772026","248"
"347","Region9","0.0611252239284593","247"
"348","Region9","0.0610909768125256","247"
"349","Region9","0.0610823262000508","247"
"350","Region9","0.0609624648210422","246"
"351","Region9","0.0608854993419807","246"
"352","Region9","0.0597972397493142","245"
"353","Region9","0.0594123018580479","244"
"354","Region9","0.0589228203657101","244"
"355","Region9","0.0571805731061134","245"
"356","Region9","0.0569995624645052","245"
"357","Region9","0.0564763224211351","245"
"358","Region9","0.0563777965260966","246"
"359","Region9","0.056211726165722","245"
"360","Region9","0.0560638616651172","245"
"361","Region9","0.0559018509884275","246"
"362","Region9","0.0554036200898781","246"
"363","Region9","0.0553957396421333","245"
"364","Region9","0.0553741774004973","244"
"365","Region9","0.0553088994866062","244"
"366","Region9","0.0550119626325235","244"
"367","Region9","0.0547215211792907","244"
"368","Region9","0.0544803868606049","244"
"369","Region9","0.0543318839137115","245"
"370","Region9","0.0542537059360341","245"
"371","Region9","0.0534926557849248","245"
"372","Region9","0.0534618140188966","245"
"373","Region9","0.0526705703300343","245"
"374","Region9","0.0522552724434653","244"
"375","Region9","0.0519601870265876","244"
"376","Region9","0.0519291375074599","245"
"377","Region9","0.0517456913232484","244"
"378","Region9","0.0517354083318211","243"
"379","Region9","0.0515949286662287","242"
"380","Region9","0.0515136919753995","242"
"381","Region9","0.050951935569457","242"
"382","Region9","0.0506635990486124","242"
"383","Region9","0.0506078090367952","242"
"384","Region9","0.0504628480944805","242"
"385","Region9","0.0502891320726115","242"
"386","Region9","0.0502363529623903","242"
"387","Region9","0.0501015451565917","242"
"388","Region9","0.0500232849349954","241"
"389","Region9","0.0498122323255765","241"
"390","Region9","0.0497023642238887","241"
"391","Region9","0.0496867646998351","241"
"392","Region9","0.0492438192855899","241"
"393","Region9","0.0485596019467673","241"
"394","Region9","0.048487639797628","241"
"395","Region9","0.0482900042190316","241"
"396","Region9","0.0482333221411226","241"
"397","Region9","0.047760952893332","241"
"398","Region9","0.0475753887222615","241"
"399","Region9","0.0475183544412703","241"
"400","Region9","0.0473906784114372","241"
"401","Region9","0.0471031956472915","241"
"402","Region9","0.0470873929501774","241"
"403","Region9","0.046939552068974","241"
"404","Region9","0.0465950421756539","241"
"405","Region9","0.0461859224441947","241"
"406","Region9","0.0459809715307499","241"
"407","Region9","0.0458449004024502","241"
"408","Region9","0.0457351097178683","241"
"409","Region9","0.0456988259194978","241"
"410","Region9","0.0453646702568721","241"
"411","Region9","0.0449217468999187","241"
"412","Region9","0.0447406048394701","240"
"413","Region9","0.0445855164918471","239"
"414","Region9","0.0445407218480534","240"
"415","Region9","0.0445267648965576","240"
"416","Region9","0.0443905048751289","240"
"417","Region9","0.0443223299721677","239"
"418","Region9","0.0442877350539516","238"
"419","Region9","0.0441915176263709","238"
"420","Region9","0.0439086926050169","239"
"421","Region9","0.0437208292197129","239"
"422","Region9","0.0437069214865397","240"
"423","Region9","0.0436705893676635","239"
"424","Region9","0.0436334557303029","239"
"425","Region9","0.043117020919498","239"
"426","Region9","0.043111638883216","240"
"427","Region9","0.042910313574753","239"
"428","Region9","0.0427142703143308","240"
"429","Region9","0.0423655757708052","240"
"430","Region9","0.042267418375508","240"
"431","Region9","0.0420850098447586","240"
"432","Region9","0.040939096932278","240"
"433","Region9","0.0408846843803042","240"
"434","Region9","0.0405083704371728","240"
"435","Region9","0.0403630886731569","240"
"436","Region9","0.0401608338212914","240"
"437","Region9","0.0401070081305819","241"
"438","Region9","0.0400552498445193","241"
