"height","cumul"
"210",0.0680841645776078,313
"211",0.0679947676104676,312
"212",0.0679904558975729,312
"213",0.067892210254108,311
"214",0.0676093743114562,311
"215",0.0673099824523895,310
"216",0.0669119366672243,310
"217",0.0669083796635597,310
"218",0.0667671181502275,309
"219",0.0665386794976274,309
"220",0.066260271144732,308
"221",0.0662146591944435,309
"222",0.0661911593529404,308
"223",0.0659212700321051,307
"224",0.065860078116032,307
"225",0.065851644809765,306
"226",0.0657487209659805,306
"227",0.0654265868187286,305
"228",0.0652409519603727,305
"229",0.0650287185533675,304
"230",0.0648709552614078,303
"231",0.0647879686156662,302
"232",0.0647724843963445,301
"233",0.0642475746013772,302
"234",0.06398823239617,303
"235",0.0639012621396318,303
"236",0.0635601760643755,302
"237",0.0633157243440884,302
